eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,5.0,15.0,0.9333333333333333,0.9997,0,5.0° to 30°,control
6.0,5.0,15.0,0.9333333333333333,0.9997,0,5.0° to 30°,control
7.0,6.5,15.0,0.8666666666666667,0.9979,0,6.5° to 30°,control
8.0,8.5,15.0,0.8666666666666667,0.9979,0,8.5° to 30°,control
9.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,control
10.0,5.0,15.0,0.9333333333333333,0.9997,0,5.0° to 30°,control
11.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,control
12.0,6.5,15.0,0.9333333333333333,0.9997,0,6.5° to 30°,control
13.0,12.5,15.0,0.8,0.9894,0,12.5° to 30°,control
14.0,4.0,15.0,0.9333333333333333,0.9997,0,4.0° to 30°,control
15.0,11.0,15.0,0.8666666666666667,0.9979,0,11.0° to 30°,control
16.0,9.5,15.0,0.8666666666666667,0.9979,0,9.5° to 30°,control
17.0,12.5,15.0,0.8,0.9894,0,12.5° to 30°,control
18.0,9.5,15.0,0.8666666666666667,0.9979,0,9.5° to 30°,control
19.0,11.0,15.0,0.9333333333333333,0.9997,0,11.0° to 30°,control
20.0,17.0,15.0,0.7333333333333333,0.9616,0,17.0° to 30°,control
21.0,15.0,15.0,0.8666666666666667,0.9979,0,15.0° to 30°,control
22.0,18.0,15.0,0.8,0.9894,0,18.0° to 30°,control
23.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,control
24.0,13.0,15.0,0.8,0.9894,0,13.0° to 30°,control
25.0,17.0,15.0,0.7333333333333333,0.9616,0,17.0° to 30°,control
26.0,12.5,15.0,0.8,0.9894,0,12.5° to 30°,control
27.0,13.0,15.0,0.8,0.9894,0,13.0° to 30°,control
28.0,12.0,14.0,0.8571428571428571,0.9963,0,12.0° to 30°,control
29.0,18.0,14.0,0.7142857142857143,0.9408,0,18.0° to 30°,control
30.0,15.5,14.0,0.7857142857142857,0.9824,0,15.5° to 30°,control
5.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,quadbright
6.0,8.0,15.0,0.8666666666666667,0.9979,0,8.0° to 30°,quadbright
7.0,9.5,15.0,0.9333333333333333,0.9997,0,9.5° to 30°,quadbright
8.0,3.5,15.0,0.9333333333333333,0.9997,0,3.5° to 30°,quadbright
9.0,6.5,15.0,0.9333333333333333,0.9997,0,6.5° to 30°,quadbright
10.0,11.5,15.0,0.8666666666666667,0.9979,0,11.5° to 30°,quadbright
11.0,14.0,15.0,0.8666666666666667,0.9979,0,14.0° to 30°,quadbright
12.0,14.0,15.0,0.9333333333333333,0.9997,0,14.0° to 30°,quadbright
13.0,11.0,15.0,0.9333333333333333,0.9997,0,11.0° to 30°,quadbright
14.0,20.0,15.0,0.8,0.9894,0,20.0° to 30°,quadbright
15.0,8.0,15.0,0.8666666666666667,0.9979,0,8.0° to 30°,quadbright
16.0,12.0,15.0,0.8666666666666667,0.9979,0,12.0° to 30°,quadbright
17.0,9.5,15.0,0.8666666666666667,0.9979,0,9.5° to 30°,quadbright
18.0,12.5,15.0,0.8,0.9894,0,12.5° to 30°,quadbright
19.0,5.0,15.0,0.9333333333333333,0.9997,0,5.0° to 30°,quadbright
20.0,12.5,15.0,0.8,0.9894,0,12.5° to 30°,quadbright
21.0,8.0,15.0,0.9333333333333333,0.9997,0,8.0° to 30°,quadbright
22.0,15.5,15.0,0.8666666666666667,0.9979,0,15.5° to 30°,quadbright
23.0,15.5,15.0,0.7333333333333333,0.9616,0,15.5° to 30°,quadbright
24.0,16.5,15.0,0.7333333333333333,0.9616,0,16.5° to 30°,quadbright
25.0,20.0,15.0,0.7333333333333333,0.9616,0,20.0° to 30°,quadbright
26.0,19.0,15.0,0.6666666666666666,0.8949,0,19.0° to 30°,quadbright
27.0,17.0,15.0,0.8,0.9894,0,17.0° to 30°,quadbright
28.0,18.0,15.0,0.6666666666666666,0.8949,0,18.0° to 30°,quadbright
29.0,22.5,13.0,0.6153846153846154,0.788,1,,quadbright
30.0,23.0,12.0,0.5833333333333334,0.7095,1,,quadbright
