eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
6.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
7.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
8.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
9.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
10.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
11.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
12.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
13.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
14.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,control
15.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,control
16.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
17.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
18.0,11.5,15.0,0.8666666666666667,0.9979,0,11.5° to 30°,control
19.0,13.0,15.0,0.9333333333333333,0.9997,0,13.0° to 30°,control
20.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,control
21.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,control
22.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,control
23.0,11.5,15.0,0.9333333333333333,0.9997,0,11.5° to 30°,control
24.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,control
25.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,control
26.0,8.5,15.0,0.9333333333333333,0.9997,0,8.5° to 30°,control
27.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,control
28.0,23.0,15.0,0.8,0.9894,0,23.0° to 30°,control
5.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,quadbright
6.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
7.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
8.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,quadbright
9.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
10.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
11.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
12.0,7.0,15.0,0.9333333333333333,0.9997,0,7.0° to 30°,quadbright
13.0,4.0,15.0,1.0,1.0,0,4.0° to 30°,quadbright
14.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,quadbright
15.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,quadbright
16.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,quadbright
17.0,11.5,15.0,0.8666666666666667,0.9979,0,11.5° to 30°,quadbright
18.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,quadbright
19.0,10.0,15.0,0.9333333333333333,0.9997,0,10.0° to 30°,quadbright
20.0,16.0,15.0,0.8,0.9894,0,16.0° to 30°,quadbright
21.0,8.5,15.0,0.9333333333333333,0.9997,0,8.5° to 30°,quadbright
22.0,13.0,15.0,0.8666666666666667,0.9979,0,13.0° to 30°,quadbright
23.0,16.0,15.0,0.8666666666666667,0.9979,0,16.0° to 30°,quadbright
24.0,14.5,15.0,0.8666666666666667,0.9979,0,14.5° to 30°,quadbright
25.0,16.0,15.0,0.8666666666666667,0.9979,0,16.0° to 30°,quadbright
26.0,13.0,15.0,0.9333333333333333,0.9997,0,13.0° to 30°,quadbright
27.0,17.5,15.0,0.8,0.9894,0,17.5° to 30°,quadbright
28.0,18.0,15.0,0.8,0.9894,0,18.0° to 30°,quadbright
