trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,25,1,66.73717498779297,367.60497093200684,1207,1
2,control,6.0,25,1,65.61112403869629,529.2599201202393,838,1
3,control,7.0,25,1,61.929941177368164,364.307165145874,1337,1
4,control,8.0,25,1,166.53203964233398,459.34414863586426,1345,1
5,control,9.0,25,1,525.0811576843262,525.0780582427979,822,1
6,control,10.0,25,1,65.15812873840332,360.6572151184082,1452,1
7,control,11.0,25,1,459.52582359313965,459.52415466308594,1055,1
8,control,12.0,25,1,466.54319763183594,466.5400981903076,1356,1
9,control,13.0,25,1,526.8580913543701,526.8559455871582,1065,1
10,control,14.0,25,1,427.08730697631836,427.0811080932617,1433,1
11,control,15.0,25,1,462.34822273254395,462.34607696533203,1183,1
12,control,16.0,25,1,461.45105361938477,461.44890785217285,1165,1
13,control,17.0,25,1,460.8159065246582,460.8137607574463,1325,1
14,control,18.0,25,1,529.3850898742676,529.3819904327393,1129,1
15,control,19.0,25,1,460.21199226379395,460.2091312408447,832,1
16,control,20.0,25,1,528.6650657653809,528.6619663238525,891,1
17,control,21.0,25,1,526.2241363525391,526.2138843536377,1137,1
18,control,22.0,25,1,459.92088317871094,459.9189758300781,886,1
19,control,23.0,25,1,525.5041122436523,525.5019664764404,982,1
20,control,24.0,25,1,669.3079471588135,669.3079471588135,1258,1
21,control,25.0,25,1,526.1709690093994,526.1659622192383,1073,1
22,control,26.0,25,1,533.562183380127,533.5590839385986,1137,1
23,control,27.0,25,1,531.1720371246338,531.1689376831055,1432,1
24,control,28.0,25,1,525.029182434082,525.0270366668701,1209,1
25,control,5.0,25,1,66.45607948303223,427.16312408447266,1499,1
26,control,6.0,25,1,63.044071197509766,527.3909568786621,1122,1
27,control,7.0,25,1,165.80510139465332,460.07299423217773,1454,1
28,control,8.0,25,1,525.2649784088135,525.2580642700195,848,1
29,control,9.0,25,1,66.48802757263184,526.0739326477051,941,1
30,control,10.0,25,1,523.4959125518799,523.4940052032471,974,1
31,control,11.0,25,1,458.5599899291992,458.5390090942383,1220,1
32,control,12.0,25,1,697.5481510162354,697.5440979003906,848,1
33,control,13.0,25,1,536.0567569732666,536.0550880432129,1406,1
34,control,14.0,25,1,532.0258140563965,532.0250988006592,1305,1
35,control,15.0,25,1,362.1029853820801,362.09917068481445,1144,1
